IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2020   1 11 35    4.12   -0.82    1.65  -321.2     0.4    22.3   9.65   64101.    2.0    1    1 -0.3686   1.94   0.32   0.36   0.04   0.22   0.18   0.40
2020   1 11 40    3.68   -1.85    0.68  -323.8    -0.1    15.1  10.24   64120.    2.0    1    1 -0.3651   2.08   0.31   0.34   0.04   0.21   0.16   0.37
2020   1 11 45    4.07   -1.09    1.34  -325.0    -2.7    12.0  10.90   68628.    3.0    1    1 -0.3617   2.23   0.30   0.32   0.04   0.20   0.15   0.35
2020   1 11 50    4.65   -0.17    1.88  -320.4     8.8    19.1   8.72   63719.    4.0    1    1 -0.3583   1.74   0.30   0.31   0.04   0.19   0.13   0.33
2020   1 11 55    4.29   -0.35    1.48  -321.2     5.0    18.3   9.71   69843.    4.0    1    1 -0.3549   1.95   0.29   0.29   0.04   0.18   0.12   0.30
2020   1 12  0    4.25   -0.25    1.60  -322.6     8.4    14.0   8.47   60949.    4.0    1    1 -0.3515   1.71   0.28   0.27   0.04   0.17   0.11   0.28
2020   1 12  5    3.79   -1.44    0.64  -323.9     0.2    15.7  10.52   77744.    4.0    1    1 -0.3481   2.14   0.27   0.26   0.04   0.16   0.10   0.26
2020   1 12 10    2.96   -3.09   -1.12  -325.6    -7.4     8.6  10.01   66869.    4.0    1    1 -0.3448   2.06   0.27   0.27   0.04   0.16   0.12   0.30
2020   1 12 15    3.58   -2.73   -1.18  -324.1   -11.8     7.2  10.35   61193.    4.0    1    1 -0.3415   2.11   0.27   0.28   0.04   0.16   0.15   0.34
2020   1 12 20    3.77   -2.53   -1.21  -322.5    -4.5     7.8  10.51   69374.    4.0    1    1 -0.3382   2.12   0.27   0.29   0.04   0.16   0.17   0.38
2020   1 12 25    4.44   -2.13   -0.82  -319.2    -3.7     9.8  10.74   65116.    4.0    1    1 -0.3350   2.12   0.27   0.29   0.04   0.16   0.18   0.40
2020   1 12 30    4.64   -1.86   -0.64  -317.8     1.0    12.1  10.87   70863.    4.0    1    1 -0.3318   2.13   0.27   0.29   0.04   0.16   0.19   0.42
2020   1 12 35    4.81   -1.44   -0.46  -316.8     4.8    11.8  11.05   71635.    4.0    1    1 -0.3286   2.15   0.26   0.28   0.04   0.15   0.19   0.42
